x,y,z,roll,pitch,yaw
0.029041,0.003348,0.104886,0.037589,-0.046279,3.140713
0.030324,0.003676,0.106808,0.038756,-0.044211,3.140604
0.031626,0.004016,0.108842,0.039414,-0.041921,3.140475
0.032943,0.004365,0.110992,0.039508,-0.039397,3.140321
0.034274,0.004723,0.113260,0.038999,-0.036626,3.140142
0.035616,0.005087,0.115650,0.037847,-0.033607,3.139932
0.036969,0.005454,0.118166,0.035956,-0.030364,3.139679
0.038330,0.005821,0.120812,0.033255,-0.026919,3.139370
0.039698,0.006185,0.123593,0.029688,-0.023291,3.138996
0.041070,0.006540,0.126511,0.025211,-0.019494,3.138548
0.042445,0.006884,0.129572,0.019812,-0.015543,3.138021
0.043819,0.007221,0.132776,0.013756,-0.011462,3.137435
0.045191,0.007556,0.136121,0.007363,-0.007259,3.136816
0.046556,0.007894,0.139607,0.000939,-0.002945,3.136184
0.047913,0.008238,0.143233,-0.005224,0.001465,3.135563
0.049258,0.008594,0.147000,-0.010852,0.005952,3.134972
0.050590,0.008963,0.150907,-0.015699,0.010490,3.134431
0.051906,0.009348,0.154956,-0.019596,0.015032,3.133953
0.053206,0.009750,0.159150,-0.022418,0.019519,3.133549
0.054488,0.010168,0.163491,-0.024083,0.023881,3.133230
0.055751,0.010603,0.167984,-0.024538,0.028040,3.133000
0.056996,0.011056,0.172632,-0.023752,0.031910,3.132867
0.058222,0.011527,0.177439,-0.021714,0.035405,3.132834
0.059427,0.012013,0.182406,-0.018606,0.038484,3.132893
0.060612,0.012508,0.187530,-0.014616,0.041101,3.133037
0.061774,0.013012,0.192811,-0.009927,0.043213,3.133254
0.062914,0.013518,0.198248,-0.004819,0.044809,3.133522
0.064029,0.014021,0.203840,0.000397,0.045893,3.133810
0.065119,0.014517,0.209583,0.005433,0.046478,3.134091
0.066183,0.015001,0.215476,0.010038,0.046575,3.134340
0.067221,0.015472,0.221515,0.014002,0.046202,3.134533
0.068231,0.015927,0.227697,0.017155,0.045376,3.134654
0.069216,0.016365,0.234017,0.019377,0.044119,3.134690
0.070176,0.016785,0.240470,0.020592,0.042454,3.134631
0.071111,0.017187,0.247051,0.020755,0.040400,3.134473
0.072024,0.017569,0.253753,0.019837,0.037972,3.134212
0.072915,0.017934,0.260570,0.017945,0.035216,3.133864
0.073784,0.018285,0.267496,0.015218,0.032181,3.133449
0.074634,0.018622,0.274526,0.011807,0.028914,3.132988
0.075465,0.018949,0.281654,0.007906,0.025452,3.132505
0.076280,0.019271,0.288877,0.003761,0.021814,3.132024
0.077081,0.019591,0.296193,-0.000400,0.018027,3.131568
0.077869,0.019913,0.303597,-0.004366,0.014122,3.131157
0.078647,0.020239,0.311086,-0.007955,0.010138,3.130810
0.079417,0.020570,0.318656,-0.011029,0.006115,3.130539
0.080179,0.020908,0.326302,-0.013503,0.002093,3.130351
0.080936,0.021252,0.334020,-0.015329,-0.001884,3.130249
0.081688,0.021601,0.341805,-0.016498,-0.005773,3.130230
0.082438,0.021954,0.349650,-0.017030,-0.009530,3.130292
0.083186,0.022310,0.357551,-0.016961,-0.013113,3.130427
0.083933,0.022668,0.365503,-0.016345,-0.016484,3.130627
0.084680,0.023026,0.373499,-0.015247,-0.019603,3.130883
